id,title,excerpt,anonymousSchool,anonymousDepartment,pinned,forumId,replyId,createdAt,updatedAt,commentCount,likeCount,withNickname,tags,topics,meta,forumName,forumAlias,nsfw,gender,school,replyTitle,mediaMeta,reactions,hidden,customStyle,isSuspiciousAccount,isModerator,layout,spoilerAlert,totalCommentCount,withImages,withVideos,media,reportReasonText,elapsedTime,excerptComments,edited,postAvatar,activityAvatar,verifiedBadge,memberType,department,enablePrivateMessage,categories,link,isPersonaPagePost,canAppearOnPopularList,ecSharingId
236978522,heme客服後續,我是有在某一樓留言說一樣是99購物節購買了眼影，一收到時確認品項沒錯之後我就按了確認訂單，結果幾天前要化妝的時候發現那個眼影盤居然是碎掉的（我絕對沒有摔過），當下想說過了好多天 而且又確認訂單了 這件,False,True,False,cbd5285f-3cba-4bfc-86d0-1ab52d201459,236931556.0,2021-09-15T05:30:40.294Z,2021-09-15T05:30:40.294Z,0,0,False,['HIDE_THUMBNAIL'],"['heme', '客服']",{'layout': 'classic'},美妝,makeup,False,F,國立臺北大學,懷著期待的心情打開結果,[],[],False,,False,False,classic,False,0,False,False,[],,667,[],False,,,False,,,,,,,,
236978521,在一起後才發現的事 該怎麼辦,今天跟女友分開了。我們在一起將近一年了，大多數時間其實也都算住在一起，剛開始我是一個很沒有安全感的人，因為之前的經歷讓我對愛情仍然抱有無法消除的不安和焦慮，是她的努力、她的溫暖漸漸讓我感受到自己是多麼,True,True,False,b5b2653a-6304-4564-9ea0-a4cec0be7aee,,2021-09-15T05:30:37.610Z,2021-09-15T05:30:37.610Z,0,0,False,['HIDE_THUMBNAIL'],"['感情', '分手', 'Les', 'TPL', '愛情']",{'layout': 'classic'},彩虹,rainbow,False,F,,,[],[],False,,False,False,classic,False,0,False,False,[],,670,[],False,,,False,,,,,,,,
236978520,日常懟粉紅,這跟人權好像沒關係,False,False,False,a1aaa6e6-2594-4968-b7dc-e1b14bea96f4,,2021-09-15T05:30:27.836Z,2021-09-15T05:30:27.836Z,0,0,True,[],"['有趣', '小粉紅']",{'layout': 'classic'},有趣,funny,False,M,今天辱華了嗎？,,"[{'id': '6452b0b9-013f-4a6e-abd8-2cfe3646d0cb', 'url': 'https://i.imgur.com/w9yCcDRl.jpg', 'normalizedUrl': 'https://i.imgur.com/w9yCcDRl.jpg', 'thumbnail': 'https://i.imgur.com/w9yCcDRl.jpg', 'type': 'image/thumbnail', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:30:27.836Z', 'updatedAt': '2021-09-15T05:33:33.927Z', 'width': 1157, 'height': 2000, 'croppingWindow': {'anchorX': 0, 'anchorY': 231, 'width': 1157, 'height': 694}}, {'id': '6452b0b9-013f-4a6e-abd8-2cfe3646d0cb', 'url': 'https://i.imgur.com/w9yCcDR.jpg', 'normalizedUrl': 'https://imgur.com/w9yCcDR', 'thumbnail': 'https://i.imgur.com/w9yCcDRl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:30:27.836Z', 'updatedAt': '2021-09-15T05:33:33.927Z', 'width': 1157, 'height': 2000, 'croppingWindow': {'anchorX': 0, 'anchorY': 231, 'width': 1157, 'height': 694}}]",[],False,,False,False,classic,False,0,True,False,[{'url': 'https://i.imgur.com/w9yCcDR.jpg'}],,680,[],False,,,False,,bdsm1102,,,,,,
236978515,關於芽芽的玩法,玩了幾場芽芽之前也在王者打過瑤，想分享一些芽芽的玩法（如果有疑慮也歡迎大家一起留言討論），二技能的部分提到附身並添加600（+90%魔法加成+自身額外生命值10%）的護盾持續三秒。血條厚，盾也會變厚。,False,False,False,16d8d779-4aff-4455-93e0-4a6cf3413d19,,2021-09-15T05:30:11.202Z,2021-09-15T05:30:55.377Z,0,0,True,[],"['傳說對決', '傳說對決板', '輔助']",{'layout': 'classic'},傳說對決,aov,False,F,打傳說ㄚ,,"[{'id': '185c11e0-8fdf-4223-9391-60687b735213', 'url': 'https://i.imgur.com/DXYxvfFl.jpg', 'normalizedUrl': 'https://i.imgur.com/DXYxvfFl.jpg', 'thumbnail': 'https://i.imgur.com/DXYxvfFl.jpg', 'type': 'image/thumbnail', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:30:11.202Z', 'updatedAt': '2021-09-15T05:38:33.299Z', 'width': 1624, 'height': 750}, {'id': '185c11e0-8fdf-4223-9391-60687b735213', 'url': 'https://i.imgur.com/DXYxvfF.jpg', 'normalizedUrl': 'https://imgur.com/DXYxvfF', 'thumbnail': 'https://i.imgur.com/DXYxvfFl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:30:11.202Z', 'updatedAt': '2021-09-15T05:38:33.299Z', 'width': 1624, 'height': 750}, {'id': '5fea15d3-1b2f-418e-88fc-e69dcafa428f', 'url': 'https://i.imgur.com/xP3WmKg.jpg', 'normalizedUrl': 'https://imgur.com/xP3WmKg', 'thumbnail': 'https://i.imgur.com/xP3WmKgl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:30:11.202Z', 'updatedAt': '2021-09-15T05:38:33.299Z', 'width': 1624, 'height': 750}, {'id': 'b0fe2eed-7e5e-4578-862a-070493e2c3de', 'url': 'https://i.imgur.com/sPScvEL.jpg', 'normalizedUrl': 'https://imgur.com/sPScvEL', 'thumbnail': 'https://i.imgur.com/sPScvELl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:30:11.202Z', 'updatedAt': '2021-09-15T05:38:33.299Z', 'width': 1624, 'height': 750}]",[],False,,False,False,classic,False,0,True,False,"[{'url': 'https://i.imgur.com/DXYxvfF.jpg'}, {'url': 'https://i.imgur.com/xP3WmKg.jpg'}, {'url': 'https://i.imgur.com/sPScvEL.jpg'}]",,696,[],False,,,False,,chininin,False,,,,,
236978511,誤點詐騙簡訊網址？,請問不小心點了詐騙簡訊的網址，但是並沒有輸入任何帳號密碼，請問大家這樣手機資料會被盜用嗎？,True,True,False,c5f6f3b2-8690-4eee-b60d-d17af2cc5959,,2021-09-15T05:29:58.221Z,2021-09-15T05:29:58.221Z,0,0,False,[],['詐騙'],{'layout': 'classic'},問答,ask,False,F,,,"[{'id': '43837678-eb9d-45cf-a5f9-d5761df0cda8', 'url': 'https://megapx-assets.dcard.tw/images/88dfa58d-cb2e-48dd-8a28-72bc8ee0d37f/160.jpeg', 'normalizedUrl': 'https://megapx-assets.dcard.tw/images/88dfa58d-cb2e-48dd-8a28-72bc8ee0d37f/160.jpeg', 'thumbnail': 'https://megapx-assets.dcard.tw/images/88dfa58d-cb2e-48dd-8a28-72bc8ee0d37f/160.jpeg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2021-09-15T05:29:58.221Z', 'updatedAt': '2021-09-15T05:29:58.221Z', 'width': 128, 'height': 160}, {'id': '43837678-eb9d-45cf-a5f9-d5761df0cda8', 'url': 'https://megapx-assets.dcard.tw/images/88dfa58d-cb2e-48dd-8a28-72bc8ee0d37f/640.jpeg', 'normalizedUrl': 'https://megapx.dcard.tw/v1/images/88dfa58d-cb2e-48dd-8a28-72bc8ee0d37f', 'thumbnail': 'https://megapx-assets.dcard.tw/images/88dfa58d-cb2e-48dd-8a28-72bc8ee0d37f/160.jpeg', 'type': 'image/megapx', 'tags': [], 'createdAt': '2021-09-15T05:29:58.221Z', 'updatedAt': '2021-09-15T05:29:58.221Z', 'width': 1600, 'height': 2000}]",[],False,,False,False,classic,False,0,True,False,[{'url': 'https://megapx-assets.dcard.tw/images/88dfa58d-cb2e-48dd-8a28-72bc8ee0d37f/640.jpeg'}],,709,[],False,,,False,,,,,,,,
236978510,🐨鋼鎖要搬家,暴躁島民鋼鎖要搬家了，想了好久還是決定讓他離開🥲，真的超級超級捨不得🤧，希望有緣人可以把他接回島上 不要讓他流去數據海，️鋼鎖是從別的島主家接來的 有送過很多女性衣服 有時候走在島上看到他穿都覺得超好笑,False,True,False,cbf56d6a-2fa9-4c63-b646-47b27abf1c02,,2021-09-15T05:29:55.442Z,2021-09-15T05:29:55.442Z,0,0,False,['HIDE_THUMBNAIL'],[],{'layout': 'classic'},動物森友會,animal_crossing,False,F,中國文化大學,,[],[],False,,False,False,classic,False,0,False,False,[],,712,[],False,,,False,,,,,,,,
236978508,不要被騙了,身為Penhaligon’s的愛好者，看到這則廣告真的會很生氣，下面也有不知道是真是假的帳號下訂，但不管怎樣都不能用我最愛的潘海啊，希望這樣做可以讓我選到想要的課（⁎⁍̴̛ᴗ⁍̴̛⁎），補一個最近新收的Lun,False,True,False,1a14ba93-3989-47e5-aedc-a3918963100e,,2021-09-15T05:29:44.590Z,2021-09-15T05:29:44.590Z,0,0,False,[],['香水'],{'layout': 'classic'},香氛,fragrance,False,F,國立中央大學,,"[{'id': '4d84c342-8008-4798-b999-caa36fb2d249', 'url': 'https://i.imgur.com/yT1dpfQl.jpg', 'normalizedUrl': 'https://i.imgur.com/yT1dpfQl.jpg', 'thumbnail': 'https://i.imgur.com/yT1dpfQl.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2021-09-15T05:29:44.590Z', 'updatedAt': '2021-09-15T05:29:44.590Z', 'width': 828, 'height': 1792}, {'id': '4d84c342-8008-4798-b999-caa36fb2d249', 'url': 'https://i.imgur.com/yT1dpfQ.jpg', 'normalizedUrl': 'https://imgur.com/yT1dpfQ', 'thumbnail': 'https://i.imgur.com/yT1dpfQl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2021-09-15T05:29:44.590Z', 'updatedAt': '2021-09-15T05:29:44.590Z', 'width': 828, 'height': 1792}, {'id': 'eecddcec-a32d-4d06-a463-fff38054a959', 'url': 'https://i.imgur.com/SpZ5ZGm.jpg', 'normalizedUrl': 'https://imgur.com/SpZ5ZGm', 'thumbnail': 'https://i.imgur.com/SpZ5ZGml.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2021-09-15T05:29:44.590Z', 'updatedAt': '2021-09-15T05:29:44.590Z', 'width': 828, 'height': 1792}, {'id': '30549bd4-3cf0-43f0-b1d9-1c367c7374a7', 'url': 'https://i.imgur.com/YUSNFKf.jpg', 'normalizedUrl': 'https://imgur.com/YUSNFKf', 'thumbnail': 'https://i.imgur.com/YUSNFKfl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2021-09-15T05:29:44.590Z', 'updatedAt': '2021-09-15T05:29:44.590Z', 'width': 828, 'height': 1792}, {'id': 'a6498fe8-2916-4db9-a4e0-085969572d94', 'url': 'https://i.imgur.com/xzRa9RA.jpg', 'normalizedUrl': 'https://imgur.com/xzRa9RA', 'thumbnail': 'https://i.imgur.com/xzRa9RAl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2021-09-15T05:29:44.590Z', 'updatedAt': '2021-09-15T05:29:44.590Z', 'width': 1500, 'height': 2000}]",[],False,,False,False,classic,False,0,True,False,"[{'url': 'https://i.imgur.com/yT1dpfQ.jpg'}, {'url': 'https://i.imgur.com/SpZ5ZGm.jpg'}, {'url': 'https://i.imgur.com/YUSNFKf.jpg'}, {'url': 'https://i.imgur.com/xzRa9RA.jpg'}]",,723,[],False,,,False,,,,,,,,
236978506,女朋友IG一直被同一個人留言愛心,最近發現有一個男生非常頻繁的在我女朋友IG公開留言符號，實在讓我看了很不舒服。我問女朋友那個男生是誰，她回答只是很久沒聯絡的朋友，很不熟，她也不在意誰在她IG版面留言了什麼，我想如果不熟又這麼厚臉皮又,True,True,False,42851318-b9e2-4a75-8a05-9fe180becefe,,2021-09-15T05:29:38.578Z,2021-09-15T05:30:12.139Z,0,0,False,[],"['女朋友', 'ig', '留言', '愛心']",{'layout': 'classic'},感情,relationship,False,M,,,[],[],False,,False,False,classic,False,0,False,False,[],,729,[],False,,,False,,,False,,,,,
236978502,有沒有突然發現同事好像是有錢人的經驗,為什麼會這樣認為，是因為發生以下兩個事件，（1.） 寵物日同事用推車帶法鬥來上班，當時覺得他的推車滿好看，就搜尋了下，沒想到這台推車竟然比我的薪水高，且我知道同事薪水跟我差不多，沒有一定的財力，應該無,False,True,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2021-09-15T05:29:24.436Z,2021-09-15T05:29:24.436Z,0,0,False,[],[],{'layout': 'classic'},閒聊,talk,False,F,世新大學,,"[{'id': '76b7ae09-0b18-456d-abe2-baa9dd4d2316', 'url': 'https://i.imgur.com/UydCFDCl.jpg', 'normalizedUrl': 'https://i.imgur.com/UydCFDCl.jpg', 'thumbnail': 'https://i.imgur.com/UydCFDCl.jpg', 'type': 'image/thumbnail', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:29:24.436Z', 'updatedAt': '2021-09-15T05:29:24.436Z', 'width': 510, 'height': 384}, {'id': '76b7ae09-0b18-456d-abe2-baa9dd4d2316', 'url': 'https://i.imgur.com/UydCFDC.jpg', 'normalizedUrl': 'https://imgur.com/UydCFDC', 'thumbnail': 'https://i.imgur.com/UydCFDCl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:29:24.436Z', 'updatedAt': '2021-09-15T05:29:24.436Z', 'width': 510, 'height': 384}]",[],False,,False,False,classic,False,0,True,False,[{'url': 'https://i.imgur.com/UydCFDC.jpg'}],,743,[],False,,,False,,,,,,,,
236978501,台中Poly Ali 評價+價格？,最近回學校前想先染個頭髮，剛好在IG上看到這間，但是沒有查到很多評價文，只有看到一個部落客分享燙髮@@，想問有沒有人有去過這家染髮的心得！，想弄的髮型是下面這個，設計師報價3757，不知道會不會太貴（,False,False,False,62268850-d2b4-4c21-a7a3-26e71702a276,,2021-09-15T05:29:17.936Z,2021-09-15T05:29:17.936Z,0,0,True,[],"['台中', '評價', '染髮', '短髮', '女生']",{'layout': 'classic'},美髮,hairsalon,False,F,我是少女,,"[{'id': 'c8b61cab-d5ab-448d-a989-a77c6d713fe6', 'url': 'https://i.imgur.com/j239TWll.jpg', 'normalizedUrl': 'https://i.imgur.com/j239TWll.jpg', 'thumbnail': 'https://i.imgur.com/j239TWll.jpg', 'type': 'image/thumbnail', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:29:17.936Z', 'updatedAt': '2021-09-15T05:29:17.936Z', 'width': 750, 'height': 937}, {'id': 'c8b61cab-d5ab-448d-a989-a77c6d713fe6', 'url': 'https://i.imgur.com/j239TWl.jpg', 'normalizedUrl': 'https://imgur.com/j239TWl', 'thumbnail': 'https://i.imgur.com/j239TWll.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2021-09-15T05:29:17.936Z', 'updatedAt': '2021-09-15T05:29:17.936Z', 'width': 750, 'height': 937}]",[],False,,False,False,classic,False,0,True,False,[{'url': 'https://i.imgur.com/j239TWl.jpg'}],,750,[],False,,,False,,coriolanus,,,,,,
