guess,compare,ans
7268,1A1B,3478
4720,0A2B,3478
4231,0A2B,3478
3175,2A0B,3478
4359,0A2B,3478
5231,0A1B,3478
5319,0A1B,3478
9341,0A2B,3478
3428,3A0B,3478
3472,3A0B,3478
7429,1A1B,3478
5743,0A3B,3478
4657,0A2B,3478
6719,0A1B,3478
2697,0A1B,3478
2179,1A0B,3478
2967,0A1B,3478
4792,0A2B,3478
4312,0A2B,3478
0146,0A1B,3478
1647,0A2B,3478
4578,2A1B,3478
5467,1A1B,3478
3725,1A1B,3478
2685,0A1B,3478
2965,0A0B,3478
6158,1A0B,3478
6814,0A2B,3478
8470,2A1B,3478
8041,0A2B,3478
8371,1A2B,3478
7801,0A2B,3478
8134,0A3B,3478
3471,3A0B,3478
0371,1A1B,3478
4180,0A2B,3478
0137,0A2B,3478
8704,0A3B,3478
3078,3A0B,3478
3180,1A1B,3478
8471,2A1B,3478
4813,0A3B,3478
8401,1A1B,3478
1387,0A3B,3478
8703,0A3B,3478
8034,0A3B,3478
3018,2A0B,3478
1473,2A1B,3478
7183,0A3B,3478
3078,3A0B,3478
7843,0A4B,3478
3784,1A3B,3478
8347,0A4B,3478
3478,4A0B,3478
