guess,compare,ans
9028,0A1B,1234
4280,1A1B,1234
6740,0A1B,1234
0765,0A0B,1234
0347,0A2B,1234
4238,2A1B,1234
4892,0A2B,1234
1349,1A2B,1234
9231,2A1B,1234
1928,1A1B,1234
4139,1A2B,1234
4981,0A2B,1234
2349,0A3B,1234
8329,0A2B,1234
1924,2A1B,1234
3941,0A3B,1234
1294,3A0B,1234
1298,2A0B,1234
4329,0A3B,1234
2139,1A2B,1234
9124,1A2B,1234
2198,0A2B,1234
8431,1A2B,1234
4193,0A3B,1234
3124,1A3B,1234
4321,0A4B,1234
2413,0A4B,1234
4213,1A3B,1234
4312,0A4B,1234
4123,0A4B,1234
4231,2A2B,1234
2431,1A3B,1234
3241,1A3B,1234
1234,4A0B,1234
