guess,compare,ans
5439,0A2B,0958
6350,1A1B,0958
0624,1A0B,0958
8260,0A2B,0958
5298,1A2B,0958
5198,1A2B,0958
6918,2A0B,0958
1758,2A0B,0958
0782,1A1B,0958
8560,0A3B,0958
0652,2A0B,0958
2861,0A1B,0958
6892,0A2B,0958
6095,0A3B,0958
6045,0A2B,0958
8526,0A2B,0958
5964,1A1B,0958
1576,0A1B,0958
5721,0A1B,0958
8712,0A1B,0958
7328,1A0B,0958
3270,0A1B,0958
2103,0A1B,0958
3014,0A1B,0958
3148,1A0B,0958
0843,1A1B,0958
8472,0A1B,0958
3782,0A1B,0958
8632,0A1B,0958
8462,0A1B,0958
4812,0A1B,0958
2198,1A1B,0958
2083,0A2B,0958
4809,0A3B,0958
9802,0A3B,0958
9380,0A3B,0958
5089,0A4B,0958
0958,4A0B,0958
