guess,compare,ans
5973,0A1B,6712
7963,0A2B,6712
9235,0A1B,6712
5231,0A2B,6712
4526,0A2B,6712
6847,1A1B,6712
4569,0A1B,6712
0469,0A1B,6712
9540,0A0B,6712
0296,0A2B,6712
6237,1A2B,6712
8732,2A0B,6712
8671,0A3B,6712
6183,1A1B,6712
3127,0A3B,6712
8371,0A2B,6712
1632,1A2B,6712
2381,0A2B,6712
6237,1A2B,6712
6173,1A2B,6712
8317,1A1B,6712
2613,1A2B,6712
8621,0A3B,6712
7168,0A3B,6712
2187,0A3B,6712
7286,0A3B,6712
6281,1A2B,6712
2318,1A1B,6712
3687,0A2B,6712
7261,0A4B,6712
6217,2A2B,6712
2617,1A3B,6712
1267,0A4B,6712
7216,1A3B,6712
6127,1A3B,6712
6712,4A0B,6712
