ip,port,now,goodcnt
181.129.74.58,40667,2021-09-09_14:16:15,4
27.110.164.2,55443,2021-09-09_13:54:08,1
143.255.52.67,31158,2021-09-09_14:16:15,1
78.186.104.246,9090,2021-09-09_14:16:15,3
165.227.33.90,8081,2021-09-09_13:54:08,1
79.119.155.137,53281,2021-09-09_14:07:30,4
202.180.20.10,55443,2021-09-09_14:16:15,1
103.250.153.242,31382,2021-09-09_13:23:33,4
165.225.21.188,80,2021-09-09_01:09:00,3
149.126.98.162,9090,2021-09-09_14:16:15,1
172.107.159.194,443,2021-09-09_14:07:30,3
47.254.94.236,1088,2021-09-09_14:16:15,4
194.233.73.108,443,2021-09-09_13:49:46,2
119.81.189.194,80,2021-09-09_11:38:38,4
41.222.209.14,808,2021-09-09_14:16:15,3
41.190.147.158,54018,2021-09-09_14:16:15,2
83.171.103.67,8080,2021-09-09_14:16:15,3
185.28.153.35,3128,2021-09-09_14:03:07,2
165.232.66.88,8118,2021-09-09_14:16:15,1
182.176.149.66,22800,2021-09-09_14:16:15,1
200.116.198.177,35184,2021-09-09_14:03:07,1
161.202.226.194,80,2021-09-09_10:19:55,4
175.139.179.65,42580,2021-09-09_13:54:08,1
182.255.58.58,80,2021-09-09_13:54:08,1
177.244.36.134,8080,2021-09-09_13:54:08,5
12.218.209.130,53281,2021-09-09_14:16:15,2
202.154.180.53,46717,2021-09-09_14:16:15,2
62.252.146.74,8080,2021-09-09_01:35:14,2
49.248.32.110,48434,2021-09-09_14:16:15,2
185.203.118.237,8888,2021-09-09_12:31:06,3
51.255.50.31,80,2021-09-09_13:54:08,1
60.250.159.191,45983,2021-09-09_14:16:15,2
27.109.116.119,23500,2021-09-09_14:07:30,2
36.89.99.98,44030,2021-09-09_14:16:15,3
182.16.103.192,3128,2021-09-09_14:07:30,3
177.91.111.253,8080,2021-09-09_14:16:15,3
72.47.152.224,55443,2021-09-09_14:11:52,4
13.112.197.90,8080,2021-09-09_05:57:35,3
77.75.6.34,8080,2021-09-09_14:16:15,1
182.23.54.146,58519,2021-09-09_14:03:07,3
61.19.40.50,31707,2021-09-09_14:07:30,1
41.164.68.194,8080,2021-09-09_14:03:07,1
50.232.134.14,8080,2021-09-09_12:35:28,3
36.80.36.57,46210,2021-09-09_13:54:08,1
37.228.65.107,32052,2021-09-09_14:16:15,2
80.154.203.122,8080,2021-09-09_12:44:13,2
46.0.154.130,55443,2021-09-09_14:16:15,2
47.243.177.149,80,2021-09-09_14:07:30,1
173.246.129.9,80,2021-09-09_11:43:00,1
103.130.141.98,8080,2021-09-09_14:16:15,1
169.239.188.61,48807,2021-09-09_14:16:15,3
47.75.254.142,8888,2021-09-09_14:03:07,1
116.90.229.186,35561,2021-09-09_14:03:07,1
188.246.191.254,8081,2021-09-09_14:03:07,2
168.91.234.183,80,2021-09-09_13:19:11,4
139.255.94.122,39635,2021-09-09_14:16:15,3
167.86.114.209,8118,2021-09-09_14:16:15,1
47.254.126.34,1088,2021-09-09_14:16:15,1
113.160.224.224,55443,2021-09-09_14:03:07,3
124.106.224.5,8080,2021-09-09_14:16:15,1
181.129.140.83,35232,2021-09-09_14:07:30,1
143.93.114.222,80,2021-09-09_14:07:30,1
13.126.84.235,8000,2021-09-09_14:03:07,1
54.166.235.155,8081,2021-09-09_13:58:30,4
202.169.229.139,53281,2021-09-09_14:16:15,1
106.14.10.139,7788,2021-09-09_01:35:14,3
202.182.57.114,8080,2021-09-09_14:07:30,1
27.123.1.46,3128,2021-09-09_14:07:30,3
213.226.11.149,41878,2021-09-09_14:16:15,3
103.250.166.12,6666,2021-09-09_14:16:15,1
103.22.172.42,59458,2021-09-09_14:16:15,2
115.42.8.15,53281,2021-09-09_14:03:07,1
68.202.141.247,8080,2021-09-09_13:54:08,6
195.57.30.33,3128,2021-09-09_14:16:15,6
200.105.215.18,33630,2021-09-09_11:43:00,2
178.124.208.8,3128,2021-09-09_13:49:46,2
190.151.120.54,80,2021-09-09_06:15:04,1
134.122.93.93,8080,2021-09-09_14:07:30,1
34.145.126.174,80,2021-09-09_13:32:17,1
41.234.66.33,3128,2021-09-09_13:36:40,1
8.211.241.7,1088,2021-09-09_14:03:07,1
81.163.43.5,41258,2021-09-09_14:16:15,1
89.40.48.186,8080,2021-09-09_14:07:30,6
172.107.227.2,443,2021-09-09_14:16:15,3
207.244.227.169,443,2021-09-09_13:19:11,1
181.192.2.233,53281,2021-09-09_14:03:07,2
