ip,port,err,checkurl,g_idx
103.85.119.20,9812,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,0
103.85.119.20,9812,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,0
103.85.119.20,9812,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,0
103.85.119.20,9812,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,0
103.85.119.20,9812,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,0
103.85.119.20,9812,asyncio.exceptions.TimeoutError,https://www.myip.com/,0
103.85.119.20,9812,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,0
108.187.44.114,3129,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,1
108.187.44.114,3129,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,1
108.187.44.114,3129,asyncio.exceptions.TimeoutError,https://www.myip.com/,1
108.187.44.114,3129,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,1
108.187.44.114,3129,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,1
108.187.44.114,3129,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,1
108.187.44.114,3129,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,1
108.187.44.120,3129,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,2
108.187.44.120,3129,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,2
108.187.44.120,3129,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,2
108.187.44.120,3129,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,2
108.187.44.120,3129,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,2
108.187.44.120,3129,asyncio.exceptions.TimeoutError,https://www.myip.com/,2
108.187.44.120,3129,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,2
108.187.44.171,3129,asyncio.exceptions.TimeoutError,https://www.myip.com/,3
108.187.44.171,3129,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,3
108.187.44.171,3129,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,3
108.187.44.171,3129,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,3
108.187.44.171,3129,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,3
108.187.44.171,3129,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,3
108.187.44.171,3129,"status=403, or ip not show in checkurl",https://whatismyipaddress.com/zh-cn/index,3
108.187.44.186,3129,asyncio.exceptions.TimeoutError,https://www.myip.com/,4
108.187.44.186,3129,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,4
108.187.44.186,3129,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,4
108.187.44.186,3129,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,4
108.187.44.186,3129,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,4
108.187.44.186,3129,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,4
108.187.44.186,3129,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,4
108.187.44.192,3129,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,5
108.187.44.192,3129,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,5
108.187.44.192,3129,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,5
